CID-10|Desc. CID-10
K429|Hérnia umbilical sem obstrução ou gangrena
Z000|Exame médico geral
R104|Outras dores abdominais e as não especificadas
S723|Fratura da diáfise do fêmur
N201|Calculose do ureter
J180|Broncopneumonia não especificada
E108|Diabetes mellitus insulino-dependente - com complicações não especificadas
O689|Trabalho de parto e parto complicados por sofrimento fetal, não especificado
P968|Outras afecções especificadas originadas no período perinatal
O410|Oligohidrâmnio
N47|Hipertrofia do prepúcio, fimose e parafimose
S424|Fratura da extremidade inferior do úmero
K566|Outras formas de obstrução intestinal, e as não especificadas
N179|Insuficiência renal aguda não especificada
O234|Infecção não especificada do trato urinário na gravidez
O479|Falso trabalho de parto, não especificado
D570|Anemia falciforme com crise
S720|Fratura do colo do fêmur
C189|Neoplasia maligna do cólon, não especificado
E148|Diabetes mellitus não especificado - com complicações não especificadas
O235|Infecções do trato genital na gravidez
N10|Nefrite túbulo-intersticial aguda
I702|Aterosclerose das artérias das extremidades
N40|Hiperplasia da próstata
Z039|Observação por suspeita de doença ou afecção não especificada
K801|Calculose da vesícula biliar com outras formas de colecistite
T111|Ferimento do membro superior, nível não especificado
N63|Nódulo mamário não especificado
S826|Fratura do maléolo lateral
O623|Trabalho de parto precipitado
F310|Transtorno afetivo bipolar, episódio atual hipomaníaco
O069|Aborto não especificado - completo ou não especificado, sem complicações
N399|Transtornos não especificados do aparelho urinário
N200|Calculose do rim
Z018|Outros exames especiais especificados
S065|Hemorragia subdural devida a traumatismo
F312|Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos
D250|Leiomioma submucoso do útero
K564|Outras obstruções do intestino
O141|Pré-eclâmpsia grave
I839|Varizes dos membros inferiores sem úlcera ou inflamação
L031|Celulite de outras partes do(s) membro(s)
N188|Outra insuficiência renal crônica
I743|Embolia e trombose de artérias dos membros inferiores
K920|Hematêmese
I420|Cardiomiopatia dilatada
K703|Cirrose hepática alcoólica
S626|Fratura de outros dedos
J40|Bronquite não especificada como aguda ou crônica
A46|Erisipela
O700|Laceração de períneo de primeiro grau durante o parto
I442|Bloqueio atrioventricular total
I210|Infarto agudo transmural da parede anterior do miocárdio
O363|Assistência prestada à mãe por sinais de hipóxia fetal
O059|Outros tipos de aborto - completo ou não especificado, sem complicações
A488|Outras doenças bacterianas especificadas
O001|Gravidez tubária
C20|Neoplasia maligna do reto
J218|Bronquiolite aguda devida a outros microorganismos especificados
O031|Aborto espontâneo - incompleto, complicado por hemorragia excessiva ou tardia
J150|Pneumonia devida à Klebsiella pneumoniae
R11|Náusea e vômitos
I48|Flutter e fibrilação atrial
O300|Gravidez dupla
O833|Parto de gravidez intra-abdominal com feto viável
P009|Feto e recém-nascido afetados por afecção materna não especificada
K403|Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena
K36|Outras formas de apendicite
K439|Hérnia ventral sem obstrução ou gangrena
A490|Infecção estafilocócica de localização não especificada
S526|Fratura da extremidade distal do rádio e do cúbito [ulna]
I694|Seqüelas de acidente vascular cerebral não especificado como hemorrágico ou isquêmico
C349|Neoplasia maligna dos brônquios ou pulmões, não especificado
C539|Neoplasia maligna do colo do útero, não especificado
O210|Hiperêmese gravídica leve
O239|Outras infecções e as não especificadas do trato urinário na gravidez
O709|Laceração de períneo durante o parto, não especificada
I638|Outros infartos cerebrais
P228|Outros desconfortos respiratórios do recém-nascido
I208|Outras formas de angina pectoris
S821|Fratura da extremidade proximal da tíbia
H119|Transtorno não especificado da conjuntiva
N300|Cistite aguda
O149|Pré-eclâmpsia não especificada
T131|Ferimento de membro inferior, nível não especificado
K746|Outras formas de cirrose hepática e as não especificadas
K610|Abscesso anal
C508|Neoplasia maligna da mama com lesão invasiva
T141|Ferimento de região não especificada do corpo
T813|Deiscência de ferida cirúrgica não classificada em outra parte
S060|Concussão cerebral
J342|Desvio do septo nasal
O688|Trabalho de parto e parto complicados por outras evidências de sofrimento fetal
S219|Ferimento do tórax parte não especificada
K929|Doença do aparelho digestivo, sem outra especificação
I802|Flebite e tromboflebite de outros vasos profundos dos membros inferiores
J040|Laringite aguda
P285|Insuficiência respiratória do recém-nascido
J353|Hipertrofia das amígdalas com hipertrofia das adenóides
O321|Assistência prestada à mãe por apresentação pélvica
S026|Fratura de mandíbula
T068|Outros traumatismos especificados envolvendo regiões múltiplas do corpo
H332|Descolamento seroso da retina
K299|Gastroduodenite, sem outra especificação
O808|Outros tipos de parto único espontâneo
L988|Outras afecções especificadas da pele e do tecido subcutâneo
K402|Hérnia inguinal bilateral, sem obstrução ou gangrena
N23|Cólica nefrética não especificada
T659|Efeito tóxico de substância não especificada
C56|Neoplasia maligna do ovário
T814|Infecção subseqüente a procedimento não classificada em outra parte
L029|Abscesso cutâneo, furúnculo e antraz de localização não especificada
H269|Catarata não especificada
O641|Obstrução do trabalho de parto devida à apresentação pélvica
S528|Fratura de outras partes do antebraço
S422|Fratura da extremidade superior do úmero
G400|Epilepsia e síndromes epilépticas idiopáticas definidas por sua localização (focal) (parcial) com crises de início focal
C710|Neoplasia maligna do cérebro, exceto lobos e ventrículos
Z470|Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna
S069|Traumatismo intracraniano, não especificado
P398|Outras infecções especificadas próprias do período perinatal
T022|Fraturas envolvendo regiões múltiplas de um membro superior
F100|Transtornos mentais e comportamentais devidos ao uso de álcool - intoxicação aguda
K351|Apendicite aguda com abscesso peritonial
O338|Assistência prestada à mãe por uma desproporção de outra origem
S820|Fratura da rótula [patela]
S823|Fratura da extremidade distal da tíbia
K297|Gastrite não especificada
C920|Leucemia mielóide aguda
P551|Isoimunização ABO do feto e do recém-nascido
P220|Síndrome da angústia respiratória do recém-nascido
Q531|Testículo não-descido, unilateral
T519|Efeito tóxico de álcool não especificado
G35|Esclerose múltipla
K650|Peritonite aguda
N938|Outros sangramentos anormais especificados do útero e da vagina
J210|Bronquiolite aguda devida a vírus sincicial respiratório
T932|Seqüelas de outras fraturas do membro inferior
J36|Abscesso periamigdaliano
G328|Outros transtornos degenerativos especificados do sistema nervoso em doenças classificadas em outra parte
E109|Diabetes mellitus insulino-dependente - sem complicações
O100|Hipertensão essencial pré-existente complicando a gravidez, o parto e o puerpério
Q780|Osteogênese imperfeita
E105|Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas
P704|Outras hipoglicemias neonatais
S721|Fratura pertrocantérica
S062|Traumatismo cerebral difuso
K928|Outras doenças especificadas do aparelho digestivo
E101|Diabetes mellitus insulino-dependente - com cetoacidose
P080|Recém-nascido de tamanho excessivamente grande
P928|Outros problemas de alimentação do recém-nascido
K590|Constipação
I471|Taquicardia supraventricular
I211|Infarto agudo transmural da parede inferior do miocárdio
C169|Neoplasia maligna do estômago, não especificado
K658|Outras peritonites
D649|Anemia não especificada
N832|Outros cistos ovarianos e os não especificados
O619|Falha na indução do trabalho de parto, não especificada
T818|Outras complicações de procedimentos não classificadas em outra parte
S523|Fratura da diáfise do rádio
B349|Infecção viral não especificada
K420|Hérnia umbilical com obstrução, sem gangrena
K921|Melena
I428|Outras cardiomiopatias
L97|Úlcera dos membros inferiores não classificada em outra parte
F103|Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência
O039|Aborto espontâneo - completo ou não especificado, sem complicações
K350|Apendicite aguda com peritonite generalizada
D509|Anemia por deficiência de ferro não especificada
E46|Desnutrição protéico-calórica não especificada
B955|Estreptococo não especificado, como causa de doenças classificadas em outros capítulos
G919|Hidrocefalia não especificada
C73|Neoplasia maligna da glândula tireóide
N850|Hiperplasia glandular endometrial
I269|Embolia pulmonar sem menção de cor pulmonale agudo
O249|Diabetes mellitus na gravidez, não especificado
T023|Fraturas envolvendo regiões múltiplas de um membro inferior
S367|Traumatismo de múltiplos órgãos intra-abdominais
P071|Outros recém-nascidos de peso baixo
J938|Outros tipos de pneumotórax, especificados
C900|Mieloma múltiplo
D539|Anemia nutricional não especificada
S520|Fratura da extremidade superior do cúbito [ulna]
E86|Depleção de volume
P219|Asfixia ao nascer, não especificada
G408|Outras epilepsias
T821|Complicação mecânica de dispositivo eletrônico cardíaco
L032|Celulite da face
S423|Fratura da diáfise do úmero
N939|Sangramento anormal do útero ou da vagina, não especificado
J039|Amigdalite aguda não especificada
L89|Úlcera de decúbito
A084|Infecção intestinal devida a vírus não especificado
R02|Gangrena não classificada em outra parte
S524|Fratura das diáfises do rádio e do cúbito [ulna]
N049|Síndrome nefrótica - não especificada
K318|Outras doenças especificadas do estômago e do duodeno
K638|Outras doenças especificadas do intestino
G473|Apnéia de sono
N739|Doença inflamatória não especificada da pelve feminina
P95|Morte fetal de causa não especificada
D571|Anemia falciforme sem crise
I050|Estenose mitral
T888|Outras complicações de cuidados médicos e cirúrgicos especificados não classificados em outra parte
E145|Diabetes mellitus não especificado - com complicações circulatórias periféricas
S270|Pneumotórax traumático
S825|Fratura do maléolo medial
N648|Outros transtornos especificados da mama
N840|Pólipo do corpo do útero
O680|Trabalho de parto e parto complicados por anormalidade da freqüência cardíaca fetal
Z762|Supervisão de cuidado de saúde de outras crianças ou recém-nascidos sadios
N811|Cistocele
O664|Falha de tentativa de trabalho de parto, não especificada
E115|Diabetes mellitus não-insulino-dependente - com complicações circulatórias periféricas
K400|Hérnia inguinal bilateral, com obstrução, sem gangrena
S722|Fratura subtrocantérica
N62|Hipertrofia da mama
A412|Septicemia por estafilococos não especificados
N118|Outras nefrites túbulo-intersticiais crônicas
H264|Pós-catarata
S623|Fratura de outros ossos do metacarpo
J90|Derrame pleural não classificado em outra parte
T012|Ferimentos envolvendo regiões múltiplas do(s) membro(s) superior(es)
P559|Doença hemolítica não especificada do feto e do recém-nascido
Z380|Criança única, nascida em hospital
B953|Streptococcus pneumoniae, como causa de doenças classificadas em outros capítulos
I698|Seqüelas de outras doenças cerebrovasculares e das não especificadas
R568|Outras convulsões e as não especificadas
E149|Diabetes mellitus não especificado - sem complicações
C64|Neoplasia maligna do rim, exceto pelve renal
O334|Assistência prestada à mãe por uma desproporção de origem mista, materna e fetal
G049|Encefalite, mielite e encefalomielite não especificada
B24|Doença pelo vírus da imunodeficiência humana [HIV] não especificada
N841|Pólipo do colo do útero
K291|Outras gastrites agudas
N879|Displasia do colo do útero, não especificada
P221|Taquipnéia transitória do recém-nascido
J359|Doenças das amígdalas e das adenóides não especificadas
K30|Dispepsia
M545|Dor lombar baixa
I213|Infarto agudo transmural do miocárdio, de localização não especificada
M009|Artrite piogênica, não especificada
S818|Ferimento de outras partes da perna
N433|Hidrocele não especificada
J440|Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior
A049|Infecção intestinal bacteriana não especificada
N61|Transtornos inflamatórios da mama
S920|Fratura do calcâneo
I472|Taquicardia ventricular
T297|Corrosões múltiplas, mencionado ao menos uma corrosão de terceiro grau
I809|Flebite e tromboflebite de localização não especificada
D486|Neoplasia de comportamento incerto ou desconhecido da mama
H448|Outros transtornos do globo ocular
S018|Ferimento na cabeça, de outras localizações
S860|Traumatismo do tendão de Aquiles
S923|Fratura de ossos do metatarso
T509|Intoxicação por outras drogas, medicamentos e substâncias biológicas e as não especificadas
I803|Flebite e tromboflebite dos membros inferiores, não especificada
O85|Infecção puerperal
K859|Pancreatite aguda, não especificada
I889|Linfadenite não especificada
N738|Outras doenças inflamatórias especificadas da pelve feminina
C168|Neoplasia maligna do estômago com lesão invasiva
S271|Hemotórax traumático
M841|Ausência de consolidação da fratura [pseudo-artrose]
R55|Síncope e colapso
O208|Outras hemorragias do início da gravidez
R074|Dor torácica, não especificada
Z988|Outros estados pós-cirúrgicos especificados
S420|Fratura da clavícula
C159|Neoplasia maligna do esôfago, não especificado
O909|Complicação do puerpério não especificada
A159|Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica
I248|Outras formas de doença isquêmica aguda do coração
P369|Septicemia bacteriana não especificada do recém-nascido
A418|Outras septicemias especificadas
K231|Megaesôfago na doença de Chagas
I618|Outras hemorragias intracerebrais
T292|Queimaduras múltiplas, sem mencionar queimadura(s) ultrapassando o segundo grau
C187|Neoplasia maligna do cólon sigmóide
K868|Outras doenças especificadas do pâncreas
C500|Neoplasia maligna do mamilo e aréola
F205|Esquizofrenia residual
J81|Edema pulmonar, não especificado de outra forma
N209|Calculose urinária, não especificada
R69|Causas desconhecidas e não especificadas de morbidade
S272|Hemopneumotórax traumático
N44|Torção do testículo
N288|Outros transtornos especificados do rim e do ureter
K860|Pancreatite crônica induzida por álcool
J969|Insuficiência respiratória não especificada
T889|Complicação não especificada de cuidados médicos e cirúrgicos
G458|Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas
I258|Outras formas de doença isquêmica crônica do coração
L303|Dermatite infectada
L030|Celulite de dedos das mãos e dos pés
O020|Ovo claro e mola não-hidatiforme
M518|Outros transtornos especificados de discos intervertebrais
O860|Infecção da incisão cirúrgica de origem obstétrica
D430|Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial
O659|Obstrução do trabalho de parto devida a anormalidades pélvicas maternas não especificadas
D067|Carcinoma in situ de outras partes do colo do útero
O16|Hipertensão materna não especificada
S661|Traumatismo do músculo flexor e tendão de outro dedo ao nível do punho e da mão
D24|Neoplasia benigna da mama
J958|Outros transtornos respiratórios pós-procedimentos
K319|Doenças do estômago e do duodeno, sem outra especificação
T828|Outras complicações de dispositivos protéticos, implantes e enxertos cardíacos e vasculares
M840|Defeito de consolidação da fratura
Q175|Orelhas proeminentes
K938|Transtornos de outros órgãos digestivos especificados em doenças classificadas em outra parte
G419|Estado de mal epiléptico, não especificado
A491|Infecção estreptocócica de localização não especificada
S724|Fratura da extremidade distal do fêmur
O233|Infecções de outras partes do trato urinário na gravidez
J441|Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada
O620|Contrações iniciais inadequadas
P134|Fratura da clavícula devida a traumatismo de parto
R570|Choque cardiogênico
S681|Amputação traumática de um outro dedo apenas (completa) (parcial)
T07|Traumatismos múltiplos não especificados
A498|Outras infecções bacterianas de localização não especificada
R51|Cefaléia
H652|Otite média serosa crônica
I470|Arritmia ventricular por reentrada
G459|Isquemia cerebral transitória não especificada
K047|Abscesso periapical sem fístula
S668|Traumatismo de outros músculos e tendões ao nível do punho e da mão
K639|Doença do intestino, sem outra especificação
S364|Traumatismo do intestino delgado
O030|Aborto espontâneo - incompleto, complicado por infecção do trato genital ou dos órgãos pélvicos
L010|Impetigo [qualquer localização] [qualquer microorganismo]
K850|Pancreatite aguda idiopática
K851|Pancreatite aguda biliar
D251|Leiomioma intramural do útero
S431|Luxação da articulação acromioclavicular
C538|Neoplasia maligna do colo do útero com lesão invasiva
H334|Descolamento da retina por tração
E106|Diabetes mellitus insulino-dependente - com outras complicações especificadas
I739|Doenças vasculares periféricas não especificada
J869|Piotórax sem fístula
O681|Trabalho de parto e parto complicados por mecônio no líquido amniótico
O459|Descolamento prematuro da placenta, não especificado
T630|Efeito tóxico do veneno de serpente
Z478|Outros seguimentos ortopédicos especificados
R05|Tosse
A509|Sífilis congênita não especificada
C443|Neoplasia maligna da pele de outras partes e de partes não especificadas da face
G404|Outras epilepsias e síndromes epilépticas generalizadas
I460|Parada cardíaca com ressuscitação bem sucedida
N202|Calculose do rim com cálculo do ureter
N814|Prolapso uterovaginal não especificado
S669|Traumatismo de músculo e tendão não especificado ao nível do punho e da mão
C501|Neoplasia maligna da porção central da mama
L500|Urticária alérgica
T658|Efeito tóxico de outras substâncias especificadas
J11|Influenza [gripe] devida a vírus não identificado
R32|Incontinência urinária não especificada
F322|Episódio depressivo grave sem sintomas psicóticos
S521|Fratura da extremidade superior do rádio
D391|Neoplasia de comportamento incerto ou desconhecido do ovário
P072|Imaturidade extrema
E146|Diabetes mellitus não especificado - com outras complicações especificadas
N921|Menstruação excessiva e freqüente com ciclo irregular
F311|Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos
K469|Hérnia abdominal não especificada, sem obstrução ou gangrena
K659|Peritonite, sem outras especificações
J129|Pneumonia viral não especificada
P050|Recém-nascido de baixo peso para a idade gestacional
R560|Convulsões febris
K769|Doença hepática, sem outra especificação
K603|Fístula anal
M329|Lúpus eritematoso disseminado [sistêmico] não especificado
O140|Pré-eclâmpsia moderada
K421|Hérnia umbilical com gangrena
S663|Traumatismo do músculo extensor e tendão de outro dedo ao nível do punho e da mão
G418|Outros estados de mal epiléptico
S318|Ferimento de outras partes e de partes não especificadas do abdome
J110|Influenza [gripe] com pneumonia, devida a vírus não identificado
N133|Outras hidronefroses e as não especificadas
P298|Outros transtornos cardiovasculares originados no período perinatal
K819|Colecistite, sem outra especificação
S522|Fratura da diáfise do cúbito [ulna]
J690|Pneumonite devida a alimento ou vômito
M866|Outra osteomielite crônica
C180|Neoplasia maligna do ceco
P299|Transtornos cardiovasculares não especificados originados no período perinatal
S913|Ferimento de outras partes do pé
K565|Aderências intestinais (bridas) com obstrução
F190|Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - intoxicação aguda
G936|Edema cerebral
O419|Transtornos do líquido amniótico e das membranas não especificados
P923|Subalimentação do recém-nascido
L998|Outras afecções especificadas da pele e do tecido subcutâneo em doenças classificadas em outra parte
F603|Transtorno de personalidade com instabilidade emocional
K818|Outras colecistites
G560|Síndrome do túnel do carpo
Q530|Testículo ectópico
S311|Ferimento da parede abdominal
J381|Pólipo das cordas vocais e da laringe
B019|Varicela sem complicação
K804|Calculose de via biliar com colecistite
N359|Estenose (estreitamento) uretral não especificada(o)
E138|Outros tipos especificados de diabetes mellitus - com complicações não especificadas
S430|Luxação da articulação do ombro
Q549|Hipospádia não especificada
T018|Ferimentos envolvendo outras combinações de regiões do corpo
E119|Diabetes mellitus não-insulino-dependente - sem complicações
H500|Estrabismo convergente concomitante
C250|Neoplasia maligna da cabeça do pâncreas
G918|Outras formas de hidrocefalia
S061|Edema cerebral traumático
F102|Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência
N308|Outras cistites
D693|Púrpura trombocitopênica idiopática
O622|Outras formas de inércia uterina
S063|Traumatismo cerebral focal
M139|Artrite não especificada
I214|Infarto agudo subendocárdico do miocárdio
K598|Outros transtornos funcionais especificados do intestino
N009|Síndrome nefrítica aguda - não especificada
R31|Hematúria não especificada
J030|Amigdalite estreptocócica
J955|Estenose subglótica pós-procedimento
K828|Outras doenças especificadas da vesícula biliar
S024|Fratura dos ossos malares e maxilares
C541|Neoplasia maligna do endométrio
O230|Infecções do rim na gravidez
I601|Hemorragia subaracnóide proveniente da artéria cerebral média
F329|Episódio depressivo não especificado
I808|Flebite e tromboflebite de outras localizações
O894|Cefaléia provocada por uma anestesia raquidiana ou peridural, durante o puerpério
M950|Deformidade adquirida do nariz
N883|Incompetência do colo do útero
C259|Neoplasia maligna do pâncreas, não especificado
S365|Traumatismo do cólon
S628|Fratura de outras partes e de partes não especificadas do punho e da mão
K591|Diarréia funcional
Z528|Doador de outros órgãos ou tecidos
F323|Episódio depressivo grave com sintomas psicóticos
Q249|Malformação não especificada do coração
T632|Efeito tóxico do veneno de escorpião
J390|Abscesso retrofaríngeo e parafaríngeo
N309|Cistite, não especificada
Q210|Comunicação interventricular
S910|Ferimento do tornozelo
K529|Gastroenterite e colite não-infecciosas, não especificadas
O219|Vômitos da gravidez, não especificados
R040|Epistaxis
F109|Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno mental ou comportamental não especificado
O911|Abscesso da mama associada ao parto
O988|Outras doenças infecciosas e parasitárias maternas complicando a gravidez, o parto e o puerpério
Z001|Exame de rotina de saúde da criança
I255|Miocardiopatia isquêmica
O995|Doenças do aparelho respiratório complicando a gravidez, o parto e o puerpério
Q211|Comunicação interatrial
C80|Neoplasia maligna, sem especificação de localização
G824|Tetraplegia espástica
O730|Retenção da placenta sem hemorragia
P701|Síndrome do filho de mãe diabética
R060|Dispnéia
B182|Hepatite viral crônica C
C859|Linfoma não-Hodgkin de tipo não especificado
M861|Outra osteomielite aguda
C839|Linfoma não-Hodgkin difuso, não especificado
H001|Calázio
K830|Colangite
O064|Aborto não especificado - incompleto, sem complicações
I441|Bloqueio atrioventricular de segundo grau
L022|Abscesso cutâneo, furúnculo e antraz do tronco
I792|Angiopatia periférica em doenças classificadas em outra parte
J80|Síndrome do desconforto respiratório do adulto
A408|Outras septicemias estreptocócicas
I671|Aneurisma cerebral não-roto
K419|Hérnia femoral unilateral ou não especificada, sem obstrução ou gangrena
G821|Paraplegia espástica
N813|Prolapso uterovaginal completo
S662|Traumatismo do músculo extensor e tendão do polegar ao nível do punho e da mão
K20|Esofagite
P070|Recém-nascido com peso muito baixo
K430|Hérnia ventral com obstrução, sem gangrena
Q225|Anomalia de Ebstein
C719|Neoplasia maligna do encéfalo, não especificado
R571|Choque hipovolêmico
C530|Neoplasia maligna do endocérvix
D500|Anemia por deficiência de ferro secundária à perda de sangue (crônica)
I830|Varizes dos membros inferiores com úlcera
J91|Derrame pleural em afecções classificadas em outra parte
O801|Parto espontâneo pélvico
K612|Abscesso anorretal
C329|Neoplasia maligna da laringe, não especificada
O209|Hemorragia do início da gravidez, não especificada
P922|Alimentação vagarosa do recém-nascido
T293|Queimaduras múltiplas, mencionando ao menos uma queimadura de terceiro grau
L089|Infecção localizada da pele e do tecido subcutâneo, não especificada
C749|Neoplasia maligna da glândula supra-renal, não especificada
I608|Outras hemorragias subaracnóides
O868|Outras infecções puerperais especificadas
T921|Seqüelas de fratura do braço
D390|Neoplasia de comportamento incerto ou desconhecido do útero
K869|Doença do pâncreas, sem outra especificação
I251|Doença aterosclerótica do coração
K768|Outras doenças especificadas do fígado
T028|Fraturas envolvendo outras combinações de regiões do corpo
B018|Varicela com outras complicações
S361|Traumatismo do fígado ou da vesícula biliar
A085|Outras infecções intestinais especificadas
G911|Hidrocefalia obstrutiva
S620|Fratura do osso navicular [escafoíde] da mão
A379|Coqueluche não especificada
I421|Cardiomiopatia obstrutiva hipertrófica
D578|Outros transtornos falciformes
K296|Outras gastrites
K509|Doença de Crohn de localização não especificada
P920|Vômitos no recém-nascido
S064|Hemorragia epidural
I693|Seqüelas de infarto cerebral
K222|Obstrução do esôfago
S666|Traumatismo de músculos flexores e tendões múltiplos ao nível do punho e da mão
C162|Neoplasia maligna do corpo do estômago
O240|Diabetes mellitus pré-existente, insulino-dependente
K831|Obstrução de via biliar
C819|Doença de Hodgkin, não especificada
G910|Hidrocefalia comunicante
O731|Retenção de partes da placenta ou das membranas, sem hemorragia
O418|Outros transtornos especificados do líquido amniótico e das membranas
M255|Dor articular
I270|Hipertensão pulmonar primária
J930|Pneumotórax de tensão, espontâneo
R610|Hiperidrose localizada
C229|Neoplasia maligna do fígado, não especificada
D27|Neoplasia benigna do ovário
L905|Cicatrizes e fibrose cutânea
L024|Abscesso cutâneo, furúnculo e antraz do(s) membro(s)
O366|Assistência prestada à mãe por crescimento fetal excessivo
O996|Doenças do aparelho digestivo complicando a gravidez, o parto e o puerpério
K219|Doença de refluxo gastroesofágico sem esofagite
I490|Flutter e fibrilação ventricular
N210|Calculose na bexiga
D489|Neoplasia de comportamento incerto ou desconhecido sem outra especificação
J352|Hipertrofia das adenóides
C629|Neoplasia maligna do testículo, sem outras especificações
C679|Neoplasia maligna da bexiga, sem outra especificações
K858|Outras pancreatites agudas
H186|Ceratocone
I159|Hipertensão secundária, não especificada
H259|Catarata senil não especificada
C158|Neoplasia maligna do esôfago com lesão invasiva
C678|Neoplasia maligna da bexiga com lesão invasiva
E43|Desnutrição protéico-calórica grave não especificada
T213|Queimadura de terceiro grau do tronco
C833|Linfoma não-Hodgkin difuso, grandes células (difuso)
E116|Diabetes mellitus não-insulino-dependente - com outras complicações especificadas
E871|Hiposmolaridade e hiponatremia
I620|Hemorragia subdural (aguda) (não-traumática)
I610|Hemorragia intracerebral hemisférica subcortical
F09|Transtorno mental orgânico ou sintomático não especificado
I495|Síndrome do nó sinusal
S324|Fratura do acetábulo
G700|Miastenia gravis
C504|Neoplasia maligna do quadrante superior externo da mama
D440|Neoplasia de comportamento incerto ou desconhecido da glândula tireóide
C448|Neoplasia maligna da pele com lesão invasiva
F108|Transtornos mentais e comportamentais devidos ao uso de álcool - outros transtornos mentais ou comportamentais
S625|Fratura do polegar
P831|Eritema tóxico neonatal
H330|Descolamento da retina com defeito retiniano
T913|Seqüelas de traumatismo de medula espinhal
D180|Hemangioma de qualquer localização
L309|Dermatite não especificada
C19|Neoplasia maligna da junção retossigmóide
