Código|Procedimento
409050083|Postectomia
404010032|Amigdalectomia c/ Adenoidectomia
503010014|Ações Relacionadas a Doação de Órgãos e Tecidos para Transplante
303060204|Tratamento de Insuficiencia Artérial c/ Isquemia Critica
406010650|Implante de Marcapasso de Câmara Dupla Transvenoso
409060119|Histerectomia c/ Anexectomia (uni / Bilateral)
303080051|Tratamento de Dermatites e Eczemas
408020431|Tratamento Cirúrgico de Fratura Diafisaria Única do Rádio / da Ulna
413040178|Tratamento Cirúrgico de Lesões Extensas c/ Perda de Substancia Cutanea
303040297|Tratamento de Processo Toxi-infeccioso do Cerebro ou da Medula Espinhal
407040099|Hernioplastia Inguinal (bilateral)
408060042|Amputação / Desarticulação de Dedo
303040092|Tratamento Conservador de Traumatismo CrânioenCefálico (grau Medio)
408050012|Amputação / Desarticulação de Membros Inferiores
406010927|Revascularização Miocardica c/ Uso de Extracorporea
408020385|Tratamento Cirúrgico de Fratura / Lesão Fisaria Supracondiliana do Úmero
303020032|Tratamento de Anemia APlástica e Outras Anemias
408050578|Tratamento Cirúrgico de Fratura do Tornozelo Unimaleolar
408020423|Tratamento Cirúrgico de Fratura Diafisaria de Ambos os Ossos do Antebraço (c/ Sintese)
409060100|Histerectomia (por Via Vaginal)
303060182|Tratamento de Hipertensao Secundaria
401020053|Excisão e Sutura de Lesao na Pele c/ Plástica em Z ou Rotacão de Retalho
303060042|Tratamento de Cardiopatia Isquemica Cronica
408020342|Tratamento Cirúrgico de Fratura / Lesão Fisaria das Falanges da Mão (com Fixação)
303110040|Tratamento de Malformacoes Congenitas do Aparelho Circulatorio
303140070|Tratamento de Doença do Ouvido Externo Medio e da Mastoide
408050632|Tratamento Cirúrgico de Fratura Transtrocanteriana
303010134|Tratamento de Infecções Virais Caracterizadas por Lesões de Pele e Mucosas (b00 a B09)
303030020|Tratamento de Desnutricao
406020566|Tratamento Cirúrgico de Varizes (bilateral)
405050372|Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel
303170085|Tratamento em Psiquiatria - em Hospital Geral (por Dia)
303010193|Tratamento de Outras Doenças Causadas por Vírus (b25 a B34)
408060379|Retirada de Placa e/ou Parafusos
409060038|Conização
303040106|Tratamento Conservador de Traumatismo CrânioenCefálico Grave
303080094|Tratamento de Outras Afeccoes da Pele e do Tecido Subcutaneo
406030022|Angioplastia Coronariana c/ Implante de Dois Stents
405050216|Recobrimento Conjuntival
403010101|Derivação Ventricular para Peritoneo / Atrio / Pleura / Raque
303070099|Tratamento de Enterites e Colites não Infecciosas
303010126|Tratamento de Infecções de Transmissão Predominantemente Sexual (a50 a A64)
409060178|Histeroscopia Cirúrgica c/ Ressectoscopio
411020048|Tratamento Cirúrgico de Gravidez Ectopica
303100036|Tratamento de Edema, Proteinuria e Transtornos Hipertensivos na Gravidez Parto e Puerperio
303010215|Tratamento de Tuberculose (a15 a A19)
408060484|Tenorrafia Única em Túnel Osteo-fibroso
410010073|Plástica Mamária Feminina não Estética
303190019|Tratamento em Reabilitacao
303060263|Tratamento de Pé Diabetico Complicado
407040080|Hernioplastia Incisional
408050551|Tratamento Cirúrgico de Fratura do Planalto Tibial
415020034|Outros Procedimentos com Cirurgias Sequenciais
409040134|Orquidopexia Unilateral
303020067|Tratamento de Defeitos da Coagulacão Purpura e Outras Afeccoes Hemorragicas
409010170|Instalacão Endoscopica de Cateter Duplo J
408060190|Osteotomia de Ossos Longos Exceto da Mão e do Pé
303170131|Tratamento Clínico em Saúde Mental em Situação de Risco Elevado de Suicídio.
406020078|Implantação de Cateter de Longa Permanência Semi ou Totalmente Implantavel (procedimento Principal)
303060140|Tratamento de Embolia Pulmonar
303060131|Tratamento de Edema Agudo de Pulmao
303140127|Tratamento de Outras Doenças das Vias Aereas Superiores
407020284|Hemorroidectomia
308020022|Tratamento de Efeitos do Contato c/ Animais e Plantas Venenosos
416120024|Mastectomia Radical c/ Linfadenectomia Axilar em Oncologia
415030013|Tratamento Cirúrgico em Politraumatizado
403010098|Derivação Ventricular Externar-subgaleal Externa
409030040|Ressecção Endoscopica de Prostata
407020276|Fistulectomia / Fistulotomia Anal
407040064|Hernioplastia Epigastrica
403010314|Tratamento Cirúrgico de Hematoma Subdural Cronico
303040025|Internacão p/ O Tratamento Medicamentoso da Osteogenesis Imperfecta
410010014|Drenagem de Abscesso de Mama
406011125|Troca de Gerador de Marcapasso de Câmara Dupla
409060216|Ooforectomia / Ooforoplastia
401020045|Excisão e Enxerto de Pele (hemangioma, Nevus ou Tumor )
409070050|Colpoperineoplastia Anterior e Posterior
407040242|Ressutura de Parede Abdominal (por Deiscencia Total / Evisceracao)
409040215|Tratamento Cirúrgico de Hidrocele
401020029|Enxerto Dermo-epidermico
407020136|Drenagem de Abscesso Anu-retal
310010055|Parto Normal em Centro de Parto Normal (cpn)
304080039|Internação p/ Quimioterapia de Leucemias Agudas / Crônicas Agudizadas
409030023|Prostatectomia Suprapúbica
408050527|Tratamento Cirúrgico de Fratura da Patela por Fixação Interna
201010143|Biopsia de Endocárdio / Miocárdio
405030177|Vitrectomia Posterior com Infusão de Perfluocarbono/óleo de Silicone/endolaser
303180013|Tratamento de Afecções Associadas ao Hiv/aids
303130059|Tratamento de Paciente Sob Cuidados Prolongados por Enfermidades Neurologicas
303060220|Tratamento de Linfadenites Inespecificas
413010082|Tratamento de Medio Queimado
415040027|Debridamento de Fasceite Necrotizante
412040174|Toracotomia Exploradora
413040232|Tratamento Cirúrgico não Estetico da Orelha
303010118|Tratamento de Hepatites Virais
305010174|Tratamento de Intercorrencia em Paciente Renal Cronico Sob Tratamento Dialitico ( por Dia)
303010053|Tratamento de Outras Doenças Devidas a Protozoários (b55 a B64)
211050105|Polissonografia
303160071|Tratamento de Traumatismo de Parto no Neonato
409060127|Histerectomia Subtotal
303020083|Tratamento de Outras Doenças do Sangue e dos Órgãos Hematopoeticos
407020179|Enterectomia
303040190|Tratamento de Doença dos Neuronios Motores Centrais c/ ou s/ Amiotrofias
407020063|Colectomia Parcial (hemicolectomia)
404010350|Timpanoplastia (uni / Bilateral)
505010097|Transplante de Cornea
405020023|Correção Cirúrgica do Estrabismo (ate 2 Musculos)
408060557|Tratamento Cirúrgico de Artrite Infecciosa (grandes e Médias Articulações)
408060476|Tenoplastia ou Enxerto de Tendão Unico
416120059|Segmentectomia/quadrantectomia/setorectomia de Mama em Oncologia
405050011|Capsulectomia Posterior Cirúrgica
408050489|Tratamento Cirúrgico de Fratura / Lesao Fisaria Proximal (colo) do Femur (sintese)
408060590|Tratamento Cirúrgico de Fratura Viciosamente Consolidada dos Ossos Longos Exceto da Mão e do Pé
406010820|Plástica Valvar e/ou Troca Valvar Multipla
409060194|Miomectomia
408020377|Tratamento Cirúrgico de Fratura / Lesão Fisaria dos Metacarpianos
303170166|Tratamento Clínico de Transtornos Mentais e Comportamentais Devido ao Uso de Álcool
408020393|Tratamento Cirúgico de Fratura da Diáfise do Úmero
303040262|Tratamento de Polineuropatias
406020574|Tratamento Cirúrgico de Varizes (unilateral)
408020334|Tratamento Cirúrgico de Fratura / Lesão Fisaria da Extremidade Proximal do Umero
416060013|Amputação Conica de Colo de Útero c/ Colpectomia em Oncologia
407010211|Gastrostomia
303150041|Tratamento de Doenças Renais Tubulo-intersticiais
407020047|Apendicectomia Videolaparoscopica
408050020|Amputação / Desarticulação de Pé e Tarso
406050015|Estudo Eletrofisiológico Diagnostico
303150017|Tratamento de Doenças dos Órgãos Genitais Masculinos
401020037|Enxerto Livre de Pele Total
409070270|Tratamento Cirúrgico de Incontinencia Urinaria por Via Vaginal
308010035|Tratamento de Traumatismos c/ Lesao de Órgão Intra-toracico e Intra-abdominal
407020101|Colostomia
409010561|Ureterolitotomia
403010306|Tratamento Cirúrgico de Hematoma Subdural Agudo
405050232|Reconstrução de Câmara Anterior do Olho
405030142|Vitrectomia Posterior
403010020|Crâniotomia Descompressiva
303170204|Tratamento em Psiquiatria por Dia (com Duração Superior a 90 Dias de Internação ou Reinternação Antes de 30 Dias)
416010121|Prostatectomia em Oncologia
404020321|Rinoplastia para Defeitos Pós-traumáticos
405030070|Retinopexia c/ Introflexao Escleral
303170107|Tratamento em Psiquiatria em Hospital Dia
408060352|Retirada de Fio ou Pino Intra-ósseo
303150068|Tratamento de Outros Transtornos do Rim e do Ureter
408050543|Tratamento Cirúrgico de Fratura do Pilão Tibial
408060425|Revisão Cirúrgica de Coto de Amputação dos Dedos
303040122|Tratamento Conservador de Tumor do Sistema Nervoso Central
408010150|Tratamento Cirúrgico de Fratura da Clavícula
408050535|Tratamento Cirúrgico de Fratura do Calcâneo
404010482|Septoplastia para Correção de Desvio
403030145|Microcirurgia para Tumor Intracraniano
303170158|Tratamento Clínico para Avaliação Diagnóstica e Adequação Terapêutica, Incluindo Necessidades de Saú
303040114|Tratamento Conservador de Traumatismo Raquimedular
408040084|Artroplastia Total Primária do Quadril Cimentada
401020070|Exerese de Cisto Dermoide
409050032|Correção de Hipospadia (1o Tempo)
408010185|Tratamento Cirúrgico de Luxacão / Fratura-luxacão Acromio-clavicular
408020369|Tratamento Cirúrgico de Fratura / Lesão Fisaria do Côndilo / Tróclea/apofise Coronóide do Ulna / C
404010113|Exerese de Papiloma em Laringe
406020124|Embolectomia Artérial
303060069|Tratamento de Choque Cardiogenico
409010219|Nefrectomia Total
409060011|Cerclagem de Colo do Útero
405050097|Facectomia c/ Implante de Lente Intra-ocular
407020187|Enteroanastomose (qualquer Segmento)
408050616|Tratamento Cirúrgico de Fratura Subtrocanteriana
303070080|Tratamento de Doenças do Peritonio
406010684|Implante de Marcapasso Temporário Transvenoso
303010142|Tratamento de Infecções Virais do Sistema Nervoso Central
408020202|Redução Incruenta de Fratura Diafisaria dos Ossos do Antebraço
408020539|Tratamento Cirúrgico de Luxação / Fratura-luxação Metacarpo-falangiana
413040097|Preparo de Retalho
409060232|Salpingectomia Uni / Bilateral
408050225|Redução Incruenta de Fratura Diafisaria / Lesao Fisaria Distal da Tibia c/ ou s/ Fratura da Fibula
303060077|Tratamento de Choque Hipovolemico
303130016|Atendimento a Paciente Sob Cuidados Prolongados Devido a Causas Externas
402010043|Tireoidectomia Total
416050077|Retossigmoidectomia Abdominal em Oncologia
404010016|Adenoidectomia
408020547|Tratamento Cirúrgico de Luxação ou Fratura-luxação do Cotovelo
303040300|Tratamento do Acidente Vascular Cerebral Isquêmico Agudo com Uso de Trombolítico
303050136|Tratamento Clínico de Intercorrências Oftalmológicas
406050040|Estudo Eletrofisiológico Terapeutico I
413040046|Dermolipectomia Abdominal não Estética (Plástica Abdominal)
303040068|Tratamento Conservador da Dor Rebelde de Origem Central ou Neoplasica
303140038|Tratamento das Afeccoes Necroticas e Supurativas das Vias Aereas Inferiores
403020123|Tratamento Cirúrgico de Sindrome Compressiva em Tunel Osteo-fibroso ao Nivel do Carpo
407020306|Jejunostomia / Ileostomia
303040033|Tratamento da Migranea Complicada
408050233|Redução Incruenta de Fratura Diafisaria / Lesao Fisaria Proximal do Femur
408050624|Tratamento Cirúrgico de Fratura Supracondileana do Fêmur (metáfise Distal)
303060301|Tratamento de Varizes dos Membros Inferiores c/ Ulcera
408050462|Tratamento Cirúrgico de Fratura / Lesao Fisaria dos Metatarsianos
409040142|Orquiectomia Subcapsular Bilateral
408010134|Redução Incruenta de Luxação ou Fratura / Luxação Escápulo-umeral
408050896|Tratamento Cirúrgico de Rotura do Menisco com Meniscectomia Parcial / Total
410010057|Mastectomia Radical c/ Linfadenectomia
407020209|Enterotomia e/ou Enterorrafia c/ Sutura / Ressecção (qualquer Segmento)
409010090|Cistostomia
303140089|Tratamento de Doenças Respiratorias Que Afetam Principalmente O Intersticio
303110112|Tratamento de Outras Malformacoes Congenitas do Aparelho Digestivo
415020050|Procedimentos Sequenciais em Oncologia
409040126|Orquidopexia Bilateral
407010190|Gastrorrafia
408060360|Retirada de Fixador Externo
303040157|Tratamento de Complicacoes da Hidrocefalia
405030096|Sutura de Esclera
505020092|Transplante de Rim (Órgão de Doador Falecido)
409070157|Exerese de Glandula de Bartholin / Skene
413010066|Tratamento de Grande Queimado
303180056|Tratamento de Afecções do Sistema Respiratório em Hiv/aids
303110015|Tratamento das Malformacoes e Deformidades Congenitas do Sistema Osteomuscular
407040030|Drenagem de Hematoma / Abscesso Pré-peritoneal
408050217|Redução Incruenta de Fratura / Luxacão / Fratura-luxacão do Tornozelo
406010935|Revascularização Miocardica c/ Uso de Extracorporea (c/ 2 ou Mais Enxertos)
404020500|Osteossíntese da Fratura Complexa da Mandíbula
409020176|Uretrotomia Interna
410010090|Plástica Mamária Reconstrutiva - Pos Mastectomia c/ Implante de Protese
408040092|Artroplastia Total Primaria do Quadril Não Cimentada / Híbrida
407020241|Fechamento de Enterostomia (qualquer Segmento)
303140097|Tratamento de Hemorragias das Vias Respiratorias
407030123|Esplenectomia
408020415|Tratamento Cirúrgico de Fratura de Extremidades / Metáfise Proximal dos Ossos do Antebraço
303060239|Tratamento de Miocardiopatias
303030054|Tratamento de Transtornos da Glandula Tireoide
303080043|Tratamento de Afeccoes Bolhosas
405010079|Exerese de Calazio e Outras Pequenas Lesões da Palpebra e Supercilios
303060018|Tratamento de Aneurisma da Aorta
303030062|Tratamento de Transtornos de Outras Glandulas Endocrinas
401020088|Exerese de Cisto Sacro-coccigeo
303010169|Tratamento de Micoses (b35 a B49)
416080081|Reconstrução c/ Retalho Miocutaneo (qualquer Parte) em Oncologia
408050861|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea da Diáfise Tibial
403030048|Crâniotomia para Retirada de Tumor Intracraniano
416050026|Colectomia Parcial (hemicolectomia) em Oncologia
303140062|Tratamento de Cardiopatia Pulmonar não Especificada (cor Pulmonale)
303170050|Tratamento de Sindrome de Abstinencia por Uso Prejudicial de Alcool e Drogas
406030049|Angioplastia Coronariana Primária
408030054|Artrodese Cervical / Cervico-torácica Posterior Tres Níveis
416060064|Histerectomia Total Ampliada em Oncologia
407040250|Tratamento Cirúrgico de Peritonite
303170182|Tratamento Clínico dos Transtornos Mentais e Comportamentais Devido ao Uso das Demais Drogas e/ou Ou
408020458|Tratamento Cirúrgico de Fratura-luxação de Galeazzi / Monteggia / Essex-lopresti
404010318|Retirada de Corpo Estranho de Ouvido / Faringe / Laringe / Nariz
303040203|Tratamento de Doenças Neuro-degenerativas
405020015|Correção Cirúrgica de Estrabismo (acima de 2 Musculos)
409010065|Cistolitotomia e/ou Retirada de Corpo Estranho da Bexiga
406010692|Implante de Prótese Valvar
409040169|Orquiectomia Unilateral
303040076|Tratamento Conservador da Hemorragia Cerebral
404010024|Amigdalectomia
403010276|Tratamento Cirúrgico de Hematoma Extradural
303060174|Tratamento de Hipertensao Pulmonar
303040130|Tratamento Clinico das Mielites / Mielopatias
407040188|Liberacão de Aderencias Intestinais
505020050|Transplante de Fígado (Órgão de Doador Falecido)
416010172|Ressecção Endoscopica de Tumor Vesical em Oncologia
416080014|Excisão e Enxerto de Pele em Oncologia
407020403|Retossigmoidectomia Abdominal
409010383|Ressecção Endoscopica de Lesao Vesical
303140119|Tratamento de Outras Doenças da Pleura
405040202|Tratamento de Ptose Palpebral
407040013|Drenagem de Abscesso Pélvico
410010120|Setorectomia / Quadrantectomia c/ Esvaziamento Ganglionar
303040289|Tratamento de Surto de Esclerose Multipla
416120032|Mastectomia Simples em Oncologia
303060115|Tratamento de Doença Reumatica c/ Comprometimento Cardiaco
408020172|Redução Incruenta de Fratura / Lesão Fisaria no Punho
407040170|Laparotomia Videolaparoscopica para Drenagem e/ou Biopsia
409040231|Tratamento Cirúrgico de Varicocele
308030028|Tratamento de Efeitos de Outras Causas Externas
303180048|Tratamento de Afecções do Sistema Nervoso em Hiv/aids
409010324|Pieloplastia
414020413|Tratamento Odontologico para Pacientes com Necessidades Especiais
503010022|Ações Relacionadas a Doação de Órgãos e Tecidos Realizadas por Equipe de Outro Estabelecimento de S
405030169|Vitrectomia Posterior com Infusão de Perfluocarbono e Endolaser
404020330|Septoplastia p/ Correção de Desvio
408050330|Revisao Cirúrgica de Coto de Amputação em Membro Inferior (exceto Dedos do Pe)
303180064|Tratamento de Doenças Disseminadas em Aids
413010090|Tratamento de Pequeno Queimado
408050160|Reconstrução Ligamentar Intra-articular do Joelho (cruzado Anterior)
303110104|Tratamento de Outras Malformacoes Congenitas
406030014|Angioplastia Coronariana
406020620|Retirada de Cateter de Longa Permanência Semi ou Totalmente Implantável
403050146|Simpatectomia Torácica VideoCirúrgica
403040116|Microcirurgia p/ara Aneurisma da Circulação Cerebral Anterior Menor Que 1,5 Cm
403010268|Tratamento Cirúrgico de Fratura do Crânio com Afundamento
406020493|Tratamento Cirúrgico de Lesões Vasculares Traumáticas da Região Cervical
303010185|Tratamento de Outras Doenças Causadas por Espiroquetas (a65 a A69)
408040050|Artroplastia Parcial de Quadril
408060310|Ressecção Simples de Tumor Ósseo / de Partes Moles
303090138|Tratamento Conservador de Fratura / Lesao Ligamentar / Arrancamento Osseo ao Nivel da Pelve
407010270|Tratamento Cirúrgico de Acalasia (cardiomioplastia)
407020098|Colorrafia por Via Abdominal
408050470|Tratamento Cirúrgico de Fratura / Lesao Fisaria dos Pododactilos
404010067|Drenagem de Abscesso Periamigdaliano
408020512|Tratamento Cirúrgico de Luxação / Fratura-luxação Carpo-metacarpiana
407020225|Excisão de Lesao / Tumor Anu-retal
405040075|Evisceração de Globo Ocular
402010035|Tireoidectomia Parcial
404010210|Mastoidectomia Radical
404010415|Turbinectomia
408020210|Redução Incruenta de Fratura dos Metacarpianos
416030270|Tireoidectomia Total em Oncologia
416010075|Nefrectomia Total em Oncologia
416060110|Histerectomia com ou sem Anexectomia (uni / Bilateral) em Oncologia
410010081|Plástica Mamária Masculina
303040246|Tratamento de Intercorrencias de Doenças Neuromusculares
404020550|Osteossíntese de Fratura Simples de Mandíbula
405010125|Reconstituição Parcial de Palpebra com Tarsorrafia
409010189|Litotripsia
409060143|Histerectomia Total Ampliada (werthein-meigs)
303100028|Tratamento de Eclampsia
407030140|Hepatorrafia
410010065|Mastectomia Simples
408030399|Discectomia Cervical / Lombar / Lombo-sacra por Via Posterior (um Nível)
403010284|Tratamento Cirúrgico de Hematoma Intracerebral
303040270|Tratamento de Polirradiculoneurite Desmielinizante Aguda
303040254|Tratamento de Miastenia Grave
308030010|Tratamento de Efeitos da Penetracão de Corpo Estranho em Orificio Natural
209040033|Traqueoscopia
411010018|Descolamento Manual de Placenta
406040052|Angioplastia Intraluminal de Vasos das Extremidades (sem Stent)
408050691|Tratamento Cirúrgico de Luxação / Fratura-luxação Metatarso-falangiana / Inter-falangiana
404030262|Palatoplastia Secundária em Paciente com Anomalia Crânio e Bucomaxilofacial
408020350|Tratamento Cirúrgico de Fratura / Lesão Fisaria de Epi~côndilo / Epitroclea do Úmero
406010676|Implante de Marcapasso de Câmara Única Transvenoso
409060054|Curetagem Uterina em Mola Hidatiforme
406020531|Tratamento Cirúrgico de Lesões Vasculares Traumáticas de Membro Superior Unilateral
412010100|Traqueoplastia e/ou Laringotraqueoplastia
412030012|Descorticação Pulmonar
303080086|Tratamento de Farmacodermias
405050119|Facoemulsificacão c/ Implante de Lente Intra-ocular Rigida
408050608|Tratamento Cirúrgico de Fratura Lesão Fisária Distal de Tíbia
409040096|Exploração Cirúrgica da Bolsa Escrotal
303010088|Tratamento de Hanseníase
401020096|Exerese de Cisto Tireoglosso
201010208|Biopsia de Fígado em Cunha / Fragmento
408020466|Tratamento Cirúrgico de Fraturas dos Ossos do Carpo
303010029|Tratamento de Dengue Hemorrágica
303050144|Tratamento Clínico de Intercorrências Oftalmológicas de Origem Infecciosa
405050321|Trabeculectomia
409070190|Marsupializacão de Glandula de Bartolin
404030076|Labioplastia Unilateral em Dois Tempos
303180030|Tratamento de Afecções do Aparelho Digestivo em Hiv/aids
506020053|Tratamento de Intercorrência Pós-transplante de Rim - Pós Transplante Crítico
403010187|Revisao de Derivação Ventricular para Peritoneo / Atrio / Pleura / Raque
404010520|Septoplastia Reparadora Nâo Estética
408020245|Redução Incruenta de Luxação ou Fratura / Luxacão no Punho
303060034|Tratamento de Cardiopatia Hipertrofica
405010176|Sutura de Palpebras
408020164|Reduçao Incruenta de Fratura / Lesão Fisaria do Extremo Proximal do Úmero
408050799|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea da Diáfise do Fêmur
416060129|Laparotomia para Avaliação de Tumor de Ovario em Oncologia
408060123|Exploração Articular c/ ou s/ Sinovectomia de Médias / Grandes Articulações
303110090|Tratamento de Outras Anomalias Congenitas do Sistema Nervoso
407040145|Herniorrafia s/ Ressecção Intestinal (hérnia Estrangulada )
416010130|Prostatovesiculectomia Radical em Oncologia
408010142|Reparo de Rotura do Manguito Rotador (inclui Procedimentos Descompressivos)
409070068|Colpoperineoplastia Posterior
408020520|Tratamento Cirúrgico de Luxação / Fratura-luxacão dos Ossos do Carpo
407010130|Gastrectomia Parcial c/ ou s/ Vagotomia
403020077|Neurolise não Funcional de Nervos Perifericos
403030030|Crâniotomia para Retirada de Tumor Cerebral Inclusivo da Fossa Posterior
404030246|Tratamento Cirúrgico de Fístula Oro-sinusal em Paciente com Anomalia Crânio e Bucomaxilofacial
408040262|Tratamento Cirúrgico de Fratura / Luxação / Fratura-luxação / Disjunção do Anel Pélvico Antero-poste
404020240|Reconstrução Total ou Parcial de Nariz
408020229|Redução Incruenta de Luxação / Fratura-luxação do Cotovelo
409040223|Tratamento Cirúrgico de Torção do Testiculo / do Cordao Espermatico
406020159|Exerese de Ganglio Linfático
303140020|Tratamento da Fibrose Cistica com Manifestacoes Pulmonares
408020237|Redução Incruenta de Luxacão / Fratura-luxacão e Metacarpo-falangiana / Metatarso-falangiana / Inter
303060166|Tratamento de Endocardite Infecciosa em Valvula Nativa
408060549|Transposição / Transferência Miotendinosa Única
416040217|Gastrectomia Parcial em Oncologia
406011133|Troca de Gerador de Marcapasso de Câmara Única
408050586|Tratamento Cirúrgico de Fratura Intercondileana / dos Côndilos do Fêmur
406010536|Fechamento de ComÚnicacão Interatrial
407030018|Anastomose Bileo-digestiva
408040130|Epifisiodese Femoral Proximal In Situ
303040211|Tratamento de Encefalopatia Hipertensiva
406020515|Tratamento Cirúrgico de Lesões Vasculares Traumáticas de Membro Inferior Unilateral
412030101|Drenagem Tubular Pleural Aberta (pleurostomia)
201010267|Biopsia de Lesão de Partes Moles (por Agulha / Céu Aberto)
303060271|Tratamento de Pericardite
406010587|Implante de Cardioversor Desfibrilador de Câmara Dupla Transvenoso
406011206|Troca Valvar c/ Revascularização Miocardica
409050075|Plástica Total do Pênis
